,Country,Alcohol use,Drug use,Unsafe sex,Smoking,Low physical activity,Diet low in fruits,Diet low in vegetables,Diet high in sodium,Diet low in whole grains,Diet low in nuts and seeds
23,Algeria,940.8081093000001,2035.2238129999998,955.2292382000002,18609.93068,7995.479816,7651.92125,4663.229717,5828.759675,16103.078980000002,11483.30653
24,Andorra,29.02605599,4.999802224,2.218708597,81.94088746,13.20418877,9.71220933,7.784183552999999,16.04742392,22.5175333,12.70106152
25,Andorra,25.81304812,4.573921864,2.0852408380000003,74.26488387,12.4541123,9.214396722,7.46351508,15.10922626,20.99734118,12.00298065
26,Andorra,24.69398924,4.476231741,2.044925638,71.68970163,12.37041132,9.254979832,7.53416086,15.05490789,20.75896593,11.986539599999999
27,Andorra,24.71148211,4.5157266069999995,2.051353193,72.60626024,12.61404166,9.556088292,7.77773941,15.36132043,21.16754506,12.29590173
28,Andorra,24.91389965,4.615506694,2.050747145,73.85076758,12.89695261,9.676092392000001,7.990663596,15.72376098,21.656678399999997,12.56367058
29,Andorra,25.18302695,4.706216423,2.0417646990000002,75.15658304,13.17858381,9.829584059,8.153829119,16.04823695,22.10578462,12.78585503
30,Andorra,25.763496,4.8097922010000005,1.9446141780000001,76.94589601,13.40475176,9.976526876,8.269391302999999,16.37019963,22.54305037,12.97602186
31,Andorra,26.79354005,4.996633271,1.915685371,79.71227957,13.82338163,10.2240463,8.49016729,16.95782246,23.27595196,13.33294499
32,Angola,8414.743361,618.1567199,11333.11073,7945.754484,933.4800662,2749.128669,2246.871089,1503.714802,3514.6867850000003,2215.955417
33,Angola,8563.686915,652.6351346,11936.38078,8100.544792000001,958.1088561,2702.484234,2228.669201,1555.6440630000002,3564.08696,2268.220013
34,Angola,8756.461786,690.0901952,12553.32768,8309.634936,986.1535460000001,2676.525588,2222.4503600000003,1619.1995689999999,3629.8420020000003,2330.745453
35,Angola,8857.371351,720.4531025,12939.66945,8414.5509,1012.161643,2640.103905,2209.728975,1674.760945,3679.9305200000003,2382.2271539999997
36,Angola,8767.379039,737.6726139,12964.16565,8349.865679999999,1015.485829,2567.932971,2151.342286,1691.5056539999998,3644.2792979999995,2374.473158
37,Angola,8891.200897,766.9881565000001,13095.86289,8495.388466,1052.736619,2582.962816,2175.277435,1753.959897,3735.6483829999997,2447.5247329999997
38,Angola,8933.179033,798.4750207999999,13496.341209999999,8628.288562,1094.6742470000002,2625.702393,2216.200472,1821.021248,3840.6678909999996,2527.954736
39,Angola,9079.898398000001,836.5036453,13751.6071,8810.716924,1140.600094,2704.049407,2283.144002,1894.7869219999998,3972.961561,2617.704511
40,Antigua and Barbuda,13.02492635,3.502889342,10.32023796,34.20557177,13.91080321,7.533007915,14.1695945,14.33041042,28.9057209,19.31492666
41,Antigua and Barbuda,13.46830058,3.578203624,10.45397147,34.61979753,14.03904854,7.690573965,14.30582673,14.04471097,29.25371829,19.44133164
42,Antigua and Barbuda,13.9574509,3.6231699980000003,10.20728546,34.99268008,14.09004265,7.78865496,14.36516654,13.70733686,29.41742262,19.46145569
43,Antigua and Barbuda,14.41951655,3.702905535,10.14435257,35.29561112,14.18260383,7.963397492,14.4677614,13.3025337,29.76539328,19.45829827
44,Antigua and Barbuda,15.08656678,3.87927664,11.82704178,36.20121429,14.44641805,8.192055042,14.75719572,12.98064313,30.37329698,19.70600669
45,Antigua and Barbuda,15.68297152,4.014027172,11.98437386,36.64051858,14.51806617,8.255555417,14.81321765,12.50268697,30.64454133,19.78820531
